"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode","new_georeferenced_column"
203350417,"October",6,2019,01:09:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"18-24","F","BLACK",995325,185155,40.674885741,-73.960075019,"POINT (-73.96007501899999 40.674885741000026)",11238,NA
194677549,"March",13,2019,21:17:00,"STATEN ISLAND",122,0,NA,TRUE,"18-24","M","WHITE","45-64","M","WHITE",953944.125,154833.859375,40.591615742,-74.109120775,"POINT (-74.10912077499995 40.591615742000045)",10304,NA
202578454,"September",18,2019,00:30:00,"MANHATTAN",28,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",997405.8125,230838.46875,40.80027269,-73.9524841639999,"POINT (-73.95248416399994 40.80027269000004)",10026,NA
197700945,"May",28,2019,04:15:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1017588.75,180904,40.663161857,-73.879833181,"POINT (-73.87983318099998 40.663161857000034)",NA,NA
205280612,"November",16,2019,03:44:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","BLACK",995727.5625,190315.25,40.6890489420001,-73.958614955,"POINT (-73.95861495499997 40.68904894200006)",11238,NA
192545749,"January",19,2019,04:00:00,"QUEENS",109,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1030091.625,220250.328125,40.771102001,-73.8344991879999,"POINT (-73.83449918799994 40.77110200100003)",11354,NA
204458416,"November",1,2019,05:00:00,"BRONX",44,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","ASIAN / PACIFIC ISLANDER",1009312.125,246894.171875,40.8443152890001,-73.909419986,"POINT (-73.90941998599999 40.844315289000065)",10457,NA
203676930,"October",12,2019,18:02:00,"MANHATTAN",28,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",998252.9375,233407.78125,40.8073234460001,-73.949419088,"POINT (-73.94941908799996 40.807323446000055)",10027,NA
203676932,"October",13,2019,02:30:00,"BROOKLYN",81,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1002882.875,192219.703125,40.6942640560001,-73.9328086369999,"POINT (-73.93280863699994 40.694264056000065)",11221,NA
201858654,"September",2,2019,04:17:00,"QUEENS",102,0,NA,TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1034150,193486,40.6976186790001,-73.820045756,"POINT (-73.82004575599996 40.69761867900008)",11418,NA
